# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.8.2

data::deathmessages::burning::1, string, 802CC2A763C2A76C28212920C2A7633C76696374696D3E20C2A737776173206B696C6C656420627920666972652E
data::deathmessages::burning::2, string, 802DC2A763C2A76C28212920C2A7633C76696374696D3E20C2A737776173207475726E656420696E746F206173682E
data::deathmessages::burning::3, string, 8030C2A763C2A76C28212920C2A7633C76696374696D3E20C2A737666F72676F742074686569722073756E73637265656E2E
data::deathmessages::burning::4, string, 802BC2A763C2A76C28212920C2A7633C76696374696D3E20C2A7376275726E656420746F20612063726973702E
data::deathmessages::burning::5, string, 8020C2A763C2A76C28212920C2A7633C76696374696D3E20C2A7376275726E65642E
data::deathmessages::drowning::1, string, 8030C2A763C2A76C28212920C2A7633C76696374696D3E20C2A737776173206B696C6C65642062792064726F776E696E672E
data::deathmessages::drowning::2, string, 8036C2A763C2A76C28212920C2A7633C76696374696D3E20C2A737636F756C646E2774206272656174686520756E6465722077617465722E
data::deathmessages::drowning::3, string, 8032C2A763C2A76C28212920C2A7633C76696374696D3E20C2A73774686F7567687420746865792077657265206120666973682E
data::deathmessages::drowning::4, string, 8021C2A763C2A76C28212920C2A7633C76696374696D3E20C2A73764726F776E65642E
data::deathmessages::explosion::1, string, 8034C2A763C2A76C28212920C2A7633C76696374696D3E20C2A737776173206B696C6C656420627920616E206578706C6F73696F6E2E
data::deathmessages::explosion::2, string, 802DC2A763C2A76C28212920C2A7633C76696374696D3E20C2A73777617320626C6F776E20746F207069656365732E
data::deathmessages::explosion::3, string, 802EC2A763C2A76C28212920C2A7633C76696374696D3E20C2A737776173207265647563656420746F2061736865732E
data::deathmessages::explosion::4, string, 8032C2A763C2A76C28212920C2A7633C76696374696D3E20C2A73777617320626C6F776E20746F20736D697468657265656E732E
data::deathmessages::explosion::5, string, 8022C2A763C2A76C28212920C2A7633C76696374696D3E20C2A7376578706C6F6465642E
data::deathmessages::fall::1, string, 8033C2A763C2A76C28212920C2A7633C76696374696D3E20C2A737776173206B696C6C65642062792066616C6C2064616D6167652E
